n,year,incident_code,incident_district,incident_description
1,2004,1,Baglung,killed
2,2003,1,Baglung,killed
3,2005,1,Baglung,killed
4,2005,1,Baglung,killed
5,2002,1,Baglung,killed
6,2002,1,Baglung,killed
7,2000,1,Baglung,killed
8,2003,2,Baglung,disappeared
9,2004,1,Baglung,killed
10,2004,3,Baglung,injured
11,2000,1,Baglung,killed
12,2004,1,Baglung,killed
13,2003,1,Baglung,killed
14,2002,1,Baglung,killed
15,2004,3,Baglung,injured
16,2004,1,Baglung,killed
17,2006,1,Baglung,killed
18,2004,1,Baglung,killed
19,2000,1,Baglung,killed
20,2003,1,Baglung,killed
21,2000,1,Baglung,killed
22,2003,1,Baglung,killed
23,2004,1,Baglung,killed
24,2005,1,Baglung,killed
25,2004,1,Baglung,killed
26,2004,1,Baglung,killed
27,2005,1,Baglung,killed
28,2005,1,Baglung,killed
29,2000,1,Baglung,killed
30,2002,1,Baglung,killed
31,2004,1,Baglung,killed
32,2002,1,Baglung,killed
33,1999,1,Baglung,killed
34,2004,1,Baglung,killed
35,2001,1,Baglung,killed
36,2005,1,Baglung,killed
37,2004,1,Arghakhanchi,killed
38,2005,1,Arghakhanchi,killed
39,2002,1,Arghakhanchi,killed
40,2004,1,Arghakhanchi,killed
41,2004,1,Arghakhanchi,killed
42,2005,1,Arghakhanchi,killed
43,2002,1,Arghakhanchi,killed
44,2002,1,Arghakhanchi,killed
45,2002,1,Arghakhanchi,killed
46,2002,3,Arghakhanchi,injured
47,2002,1,Arghakhanchi,killed
48,2002,1,Arghakhanchi,killed
49,2002,1,Arghakhanchi,killed
50,2005,1,Arghakhanchi,killed
51,2002,1,Arghakhanchi,killed
52,2002,1,Arghakhanchi,killed
53,2005,1,Arghakhanchi,killed
54,2006,1,Arghakhanchi,killed
55,2002,1,Arghakhanchi,killed
56,2003,1,Arghakhanchi,killed
57,2006,1,Arghakhanchi,killed
58,2005,1,Arghakhanchi,killed
59,2002,1,Arghakhanchi,killed
60,2002,1,Arghakhanchi,killed
61,2002,1,Arghakhanchi,killed
62,2002,1,Arghakhanchi,killed
63,2004,1,Arghakhanchi,killed
64,2002,1,Arghakhanchi,killed
65,2002,1,Arghakhanchi,killed
66,2005,1,Arghakhanchi,killed
67,2002,1,Arghakhanchi,killed
68,2002,1,Arghakhanchi,killed
69,2002,1,Arghakhanchi,killed
70,2004,1,Arghakhanchi,killed
71,2004,1,Arghakhanchi,killed
72,2003,1,Arghakhanchi,killed
73,2002,1,Arghakhanchi,killed
74,2002,1,Arghakhanchi,killed
75,2006,1,Arghakhanchi,killed
76,2004,1,Arghakhanchi,killed
77,2002,1,Arghakhanchi,killed
78,2002,1,Arghakhanchi,killed
79,2001,1,Arghakhanchi,killed
80,2002,1,Arghakhanchi,killed
81,2004,1,Arghakhanchi,killed
82,2002,1,Arghakhanchi,killed
83,2005,1,Arghakhanchi,killed
84,2002,1,Arghakhanchi,killed
85,2002,1,Arghakhanchi,killed
86,2006,1,Arghakhanchi,killed
87,2002,1,Arghakhanchi,killed
88,2002,3,Arghakhanchi,injured
89,2005,1,Arghakhanchi,killed
90,2002,1,Arghakhanchi,killed
91,2002,1,Arghakhanchi,killed
92,2002,1,Arghakhanchi,killed
93,2002,1,Arghakhanchi,killed
94,2002,1,Arghakhanchi,killed
95,2002,1,Arghakhanchi,killed
96,2002,1,Arghakhanchi,killed
97,2002,3,Arghakhanchi,injured
98,2002,1,Arghakhanchi,killed
99,2006,1,Arghakhanchi,killed
100,2004,1,Arghakhanchi,killed
101,2002,1,Arghakhanchi,killed
102,2002,1,Arghakhanchi,killed
103,2002,1,Arghakhanchi,killed
104,2002,1,Arghakhanchi,killed
105,2006,1,Arghakhanchi,killed
106,2002,1,Arghakhanchi,killed
107,2005,1,Arghakhanchi,killed
108,2002,1,Arghakhanchi,killed
109,2002,1,Arghakhanchi,killed
110,2002,1,Arghakhanchi,killed
111,2002,1,Arghakhanchi,killed
112,2002,1,Arghakhanchi,killed
113,2002,1,Arghakhanchi,killed
114,2005,1,Arghakhanchi,killed
115,2001,1,Arghakhanchi,killed
116,2002,1,Arghakhanchi,killed
117,2005,1,Arghakhanchi,killed
118,2002,1,Arghakhanchi,killed
119,2002,1,Arghakhanchi,killed
120,2004,1,Arghakhanchi,killed
121,2002,1,Arghakhanchi,killed
122,2002,1,Arghakhanchi,killed
123,2005,1,Arghakhanchi,killed
124,2001,1,Arghakhanchi,killed
125,1999,1,Arghakhanchi,killed
126,2002,1,Arghakhanchi,killed
127,2004,1,Arghakhanchi,killed
128,2002,1,Arghakhanchi,killed
129,2002,1,Arghakhanchi,killed
130,2005,1,Arghakhanchi,killed
131,2003,1,Arghakhanchi,killed
132,2002,1,Arghakhanchi,killed
133,2004,1,Arghakhanchi,killed
134,2002,1,Arghakhanchi,killed
135,2002,1,Arghakhanchi,killed
136,2004,1,Arghakhanchi,killed
137,2002,1,Arghakhanchi,killed
138,2002,3,Arghakhanchi,injured
139,2002,1,Arghakhanchi,killed
140,2006,1,Arghakhanchi,killed
141,2002,1,Arghakhanchi,killed
142,2002,1,Arghakhanchi,killed
143,2002,1,Arghakhanchi,killed
144,2002,1,Arghakhanchi,killed
145,2004,1,Arghakhanchi,killed
146,2002,1,Arghakhanchi,killed
147,2002,1,Arghakhanchi,killed
148,2002,1,Arghakhanchi,killed
149,2002,3,Arghakhanchi,injured
150,2002,1,Arghakhanchi,killed
151,2004,2,Arghakhanchi,disappeared
152,2002,1,Arghakhanchi,killed
153,2006,1,Arghakhanchi,killed
154,2002,1,Arghakhanchi,killed
155,2004,1,Arghakhanchi,killed
156,2002,1,Arghakhanchi,killed
157,2005,1,Arghakhanchi,killed
158,2002,1,Arghakhanchi,killed
159,2002,1,Arghakhanchi,killed
160,2002,1,Arghakhanchi,killed
161,2005,1,Arghakhanchi,killed
162,2006,1,Arghakhanchi,killed
163,2004,1,Arghakhanchi,killed
164,2002,1,Arghakhanchi,killed
165,2002,1,Arghakhanchi,killed
166,1997,1,Arghakhanchi,killed
167,2002,1,Arghakhanchi,killed
168,2002,1,Arghakhanchi,killed
169,2002,1,Arghakhanchi,killed
