,District,year,turnout_vage,high_conflict_gov,turnout_rate,treated,post,interaction,treat_year
1,Achham,1994,71.57447052,0,0.715744705,1,0,0,2001
2,Achham,2008,82.20471954,1,0.822047195,1,1,1,2001
3,Achham,2013,63.17937088,1,0.631793709,1,1,1,2001
4,Achham,1999,83.29766846,1,0.832976685,1,0,0,2001
5,Achham,1991,72.32381439,0,0.723238144,1,0,0,2001
6,Arghakhanchi,1999,81.48749542,1,0.814874954,1,0,0,2000
7,Arghakhanchi,1991,78.9602356,0,0.789602356,1,0,0,2000
8,Arghakhanchi,1994,86.09575653,0,0.860957565,1,0,0,2000
9,Arghakhanchi,2008,87.93352509,1,0.879335251,1,1,1,2000
10,Arghakhanchi,2013,69.28225708,1,0.692822571,1,1,1,2000
11,Baglung,2013,60.30947113,1,0.603094711,1,1,1,2001
12,Baglung,1999,79.4479599,1,0.794479599,1,0,0,2001
13,Baglung,2008,83.21631622,1,0.832163162,1,1,1,2001
14,Baglung,1994,75.97438049,0,0.759743805,1,0,0,2001
15,Baglung,1991,67.98491669,0,0.679849167,1,0,0,2001
16,Baitadi,1999,51.72321701,0,0.51723217,0,0,0,2010
17,Baitadi,1991,39.81658936,0,0.398165894,0,0,0,2010
18,Baitadi,2013,56.64404297,0,0.56644043,0,1,0,2010
19,Baitadi,1994,50.389328,0,0.50389328,0,0,0,2010
20,Baitadi,2008,66.35383606,0,0.663538361,0,1,0,2010
21,Bajhang,1994,60.44760132,0,0.604476013,0,0,0,2010
22,Bajhang,1991,57.23919296,0,0.57239193,0,0,0,2010
23,Bajhang,1999,68.23899841,0,0.682389984,0,0,0,2010
24,Bajhang,2008,34.71969604,0,0.34719696,0,1,0,2010
25,Bajhang,2013,63.81557465,0,0.638155746,0,1,0,2010
26,Bajura,1999,78.16686249,0,0.781668625,0,0,0,2010
27,Bajura,2013,67.83582306,0,0.678358231,0,1,0,2010
28,Bajura,1991,78.29721832,0,0.782972183,0,0,0,2010
29,Bajura,2008,78.07920837,0,0.780792084,0,1,0,2010
30,Bajura,1994,82.71130371,0,0.827113037,0,0,0,2010
31,Banke,1991,71.8225708,0,0.718225708,0,0,0,2010
32,Banke,1999,59.33261871,0,0.593326187,0,0,0,2010
33,Banke,1994,71.24744415,0,0.712474442,0,0,0,2010
34,Banke,2008,59.84375381,0,0.598437538,0,1,0,2010
35,Banke,2013,58.22814941,0,0.582281494,0,1,0,2010
36,Bara,1999,72.00559998,0,0.720056,0,0,0,2010
37,Bara,2008,71.83831024,0,0.718383102,0,1,0,2010
38,Bara,1994,79.27321625,0,0.792732162,0,0,0,2010
39,Bara,2013,62.8431282,0,0.628431282,0,1,0,2010
40,Bara,1991,79.66236877,0,0.796623688,0,0,0,2010
41,Bardiya,1991,70.70530701,0,0.70705307,1,0,0,2001
42,Bardiya,1994,72.61773682,0,0.726177368,1,0,0,2001
43,Bardiya,1999,66.4005661,1,0.664005661,1,0,0,2001
44,Bardiya,2008,71.53396606,1,0.715339661,1,1,1,2001
45,Bardiya,2013,67.59159088,1,0.675915909,1,1,1,2001
46,Bhaktapur,2013,59.53963089,0,0.595396309,0,1,0,2010
47,Bhaktapur,1999,64.30501556,0,0.643050156,0,0,0,2010
48,Bhaktapur,1991,94.76561737,0,0.947656174,0,0,0,2010
49,Bhaktapur,1994,87.71277618,0,0.877127762,0,0,0,2010
50,Bhaktapur,2008,56.50617599,0,0.56506176,0,1,0,2010
51,Bhojpur,1994,69.39601135,0,0.693960114,0,0,0,2010
52,Bhojpur,2013,58.22371292,0,0.582237129,0,1,0,2010
53,Bhojpur,1999,74.92168427,0,0.749216843,0,0,0,2010
54,Bhojpur,1991,54.16695023,0,0.541669502,0,0,0,2010
55,Bhojpur,2008,74.26345825,0,0.742634583,0,1,0,2010
56,Chitawan,1991,81.69659424,0,0.816965942,0,0,0,2010
57,Chitawan,2008,63.97509384,0,0.639750938,0,1,0,2010
58,Chitawan,1994,77.04003906,0,0.770400391,0,0,0,2010
59,Chitawan,1999,66.92920685,0,0.669292068,0,0,0,2010
60,Chitawan,2013,56.73187256,0,0.567318726,0,1,0,2010
61,Dadeldhura,2008,70.18330383,0,0.701833038,0,1,0,2010
62,Dadeldhura,1991,72.81811523,0,0.728181152,0,0,0,2010
63,Dadeldhura,1999,67.24624634,0,0.672462463,0,0,0,2010
64,Dadeldhura,1994,62.92033768,0,0.629203377,0,0,0,2010
65,Dadeldhura,2013,61.51823807,0,0.615182381,0,1,0,2010
66,Dailekh,1994,63.497612,0,0.63497612,1,0,0,1999
67,Dailekh,1991,71.73369598,0,0.71733696,1,0,0,1999
68,Dailekh,2008,74.05982208,1,0.740598221,1,1,1,1999
69,Dailekh,2013,62.8405304,1,0.628405304,1,1,1,1999
70,Dailekh,1999,73.05288696,1,0.73052887,1,0,0,1999
71,Dang,1991,77.1374054,0,0.771374054,1,0,0,2001
72,Dang,1999,66.27093506,1,0.662709351,1,0,0,2001
73,Dang,2013,54.82740021,1,0.548274002,1,1,1,2001
74,Dang,2008,66.98026276,1,0.669802628,1,1,1,2001
